index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
244,England,Crystal Palace,Southampton,03.12. 15:00,Premier League,2016/2017,3-0,2016-12-03 15:00:00,0,3,home
245,England,Stoke,Burnley,03.12. 15:00,Premier League,2016/2017,2-0,2016-12-03 15:00:00,0,2,home
246,England,Sunderland,Leicester,03.12. 15:00,Premier League,2016/2017,2-1,2016-12-03 15:00:00,1,2,home
247,England,Tottenham,Swansea,03.12. 15:00,Premier League,2016/2017,5-0,2016-12-03 15:00:00,0,5,home
248,England,West Brom,Watford,03.12. 15:00,Premier League,2016/2017,3-1,2016-12-03 15:00:00,1,3,home
249,England,Manchester City,Chelsea,03.12. 12:30,Premier League,2016/2017,1-3,2016-12-03 12:30:00,3,1,away
250,England,Manchester Utd,West Ham,27.11. 16:30,Premier League,2016/2017,1-1,2016-11-27 16:30:00,1,1,draw
251,England,Southampton,Everton,27.11. 16:30,Premier League,2016/2017,1-0,2016-11-27 16:30:00,0,1,home
252,England,Arsenal,Bournemouth,27.11. 14:15,Premier League,2016/2017,3-1,2016-11-27 14:15:00,1,3,home
253,England,Watford,Stoke,27.11. 12:00,Premier League,2016/2017,0-1,2016-11-27 12:00:00,1,0,away
254,England,Chelsea,Tottenham,26.11. 17:30,Premier League,2016/2017,2-1,2016-11-26 17:30:00,1,2,home
255,England,Hull,West Brom,26.11. 15:00,Premier League,2016/2017,1-1,2016-11-26 15:00:00,1,1,draw
256,England,Leicester,Middlesbrough,26.11. 15:00,Premier League,2016/2017,2-2,2016-11-26 15:00:00,2,2,draw
257,England,Liverpool,Sunderland,26.11. 15:00,Premier League,2016/2017,2-0,2016-11-26 15:00:00,0,2,home
258,England,Swansea,Crystal Palace,26.11. 15:00,Premier League,2016/2017,5-4,2016-11-26 15:00:00,4,5,home
259,England,Burnley,Manchester City,26.11. 12:30,Premier League,2016/2017,1-2,2016-11-26 12:30:00,2,1,away
260,England,West Brom,Burnley,21.11. 20:00,Premier League,2016/2017,4-0,2016-11-21 20:00:00,0,4,home
261,England,Middlesbrough,Chelsea,20.11. 16:00,Premier League,2016/2017,0-1,2016-11-20 16:00:00,1,0,away
262,England,Tottenham,West Ham,19.11. 17:30,Premier League,2016/2017,3-2,2016-11-19 17:30:00,2,3,home
263,England,Crystal Palace,Manchester City,19.11. 15:00,Premier League,2016/2017,1-2,2016-11-19 15:00:00,2,1,away
264,England,Everton,Swansea,19.11. 15:00,Premier League,2016/2017,1-1,2016-11-19 15:00:00,1,1,draw
265,England,Southampton,Liverpool,19.11. 15:00,Premier League,2016/2017,0-0,2016-11-19 15:00:00,0,0,draw
266,England,Stoke,Bournemouth,19.11. 15:00,Premier League,2016/2017,0-1,2016-11-19 15:00:00,1,0,away
267,England,Sunderland,Hull,19.11. 15:00,Premier League,2016/2017,3-0,2016-11-19 15:00:00,0,3,home
268,England,Watford,Leicester,19.11. 15:00,Premier League,2016/2017,2-1,2016-11-19 15:00:00,1,2,home
269,England,Manchester Utd,Arsenal,19.11. 12:30,Premier League,2016/2017,1-1,2016-11-19 12:30:00,1,1,draw
270,England,Leicester,West Brom,06.11. 16:30,Premier League,2016/2017,1-2,2016-11-06 16:30:00,2,1,away
271,England,Swansea,Manchester Utd,06.11. 15:00,Premier League,2016/2017,1-3,2016-11-06 15:00:00,3,1,away
272,England,Hull,Southampton,06.11. 14:15,Premier League,2016/2017,2-1,2016-11-06 14:15:00,1,2,home
273,England,Liverpool,Watford,06.11. 14:15,Premier League,2016/2017,6-1,2016-11-06 14:15:00,1,6,home
