index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
417,England,Manchester City,Swansea,22.04. 15:30,Premier League,2017/2018,5-0,2018-04-22 15:30:00,0,5,home
418,England,Arsenal,West Ham,22.04. 12:30,Premier League,2017/2018,4-1,2018-04-22 12:30:00,1,4,home
419,England,Stoke,Burnley,22.04. 12:30,Premier League,2017/2018,1-1,2018-04-22 12:30:00,1,1,draw
420,England,Watford,Crystal Palace,21.04. 14:00,Premier League,2017/2018,0-0,2018-04-21 14:00:00,0,0,draw
421,England,West Brom,Liverpool,21.04. 11:30,Premier League,2017/2018,2-2,2018-04-21 11:30:00,2,2,draw
422,England,Burnley,Chelsea,19.04. 18:45,Premier League,2017/2018,1-2,2018-04-19 18:45:00,2,1,away
423,England,Leicester,Southampton,19.04. 18:45,Premier League,2017/2018,0-0,2018-04-19 18:45:00,0,0,draw
424,England,Bournemouth,Manchester Utd,18.04. 18:45,Premier League,2017/2018,0-2,2018-04-18 18:45:00,2,0,away
425,England,Brighton,Tottenham,17.04. 18:45,Premier League,2017/2018,1-1,2018-04-17 18:45:00,1,1,draw
426,England,West Ham,Stoke,16.04. 19:00,Premier League,2017/2018,1-1,2018-04-16 19:00:00,1,1,draw
427,England,Manchester Utd,West Brom,15.04. 15:00,Premier League,2017/2018,0-1,2018-04-15 15:00:00,1,0,away
